================================================================================
Training model with depth = 1
Trainable parameters: 1,258
DepthCNN(
  (features): Sequential(
    (0): ConvBlock(
      (block): Sequential(
        (0): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1), padding=same, bias=False)
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): ReLU(inplace=True)
      )
    )
  )
  (classifier): Sequential(
    (0): AdaptiveAvgPool2d(output_size=(1, 1))
    (1): Flatten(start_dim=1, end_dim=-1)
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=32, out_features=10, bias=True)
  )
)
================================================================================
Epoch [01/50] | train_loss=2.2828 | train_acc=0.1400 | val_loss=2.2356 | val_acc=0.1900 | time=20.0s
Epoch [02/50] | train_loss=2.2304 | train_acc=0.1771 | val_loss=2.2023 | val_acc=0.2307 | time=19.5s
Epoch [03/50] | train_loss=2.2041 | train_acc=0.1925 | val_loss=2.1791 | val_acc=0.2353 | time=20.8s
Epoch [04/50] | train_loss=2.1854 | train_acc=0.2043 | val_loss=2.1620 | val_acc=0.2343 | time=20.8s
Epoch [05/50] | train_loss=2.1727 | train_acc=0.2135 | val_loss=2.1461 | val_acc=0.2363 | time=20.6s
Epoch [06/50] | train_loss=2.1604 | train_acc=0.2175 | val_loss=2.1320 | val_acc=0.2453 | time=20.5s
Epoch [07/50] | train_loss=2.1524 | train_acc=0.2251 | val_loss=2.1226 | val_acc=0.2530 | time=20.5s
Epoch [08/50] | train_loss=2.1470 | train_acc=0.2268 | val_loss=2.1175 | val_acc=0.2622 | time=20.6s
Epoch [09/50] | train_loss=2.1375 | train_acc=0.2323 | val_loss=2.1100 | val_acc=0.2618 | time=20.6s
Epoch [10/50] | train_loss=2.1304 | train_acc=0.2363 | val_loss=2.1088 | val_acc=0.2637 | time=20.6s
Epoch [11/50] | train_loss=2.1260 | train_acc=0.2356 | val_loss=2.0939 | val_acc=0.2723 | time=20.6s
Epoch [12/50] | train_loss=2.1215 | train_acc=0.2415 | val_loss=2.0971 | val_acc=0.2720 | time=20.6s
Epoch [13/50] | train_loss=2.1204 | train_acc=0.2404 | val_loss=2.0903 | val_acc=0.2728 | time=20.7s
Epoch [14/50] | train_loss=2.1115 | train_acc=0.2440 | val_loss=2.0850 | val_acc=0.2705 | time=20.6s
Epoch [15/50] | train_loss=2.1162 | train_acc=0.2369 | val_loss=2.0816 | val_acc=0.2760 | time=20.6s
Epoch [16/50] | train_loss=2.1095 | train_acc=0.2434 | val_loss=2.0746 | val_acc=0.2750 | time=20.5s
Epoch [17/50] | train_loss=2.1060 | train_acc=0.2465 | val_loss=2.0772 | val_acc=0.2828 | time=20.6s
Epoch [18/50] | train_loss=2.1001 | train_acc=0.2492 | val_loss=2.0723 | val_acc=0.2735 | time=20.6s
Epoch [19/50] | train_loss=2.0995 | train_acc=0.2514 | val_loss=2.0755 | val_acc=0.2707 | time=20.5s
Epoch [20/50] | train_loss=2.0975 | train_acc=0.2510 | val_loss=2.0723 | val_acc=0.2740 | time=20.5s
Epoch [21/50] | train_loss=2.0971 | train_acc=0.2521 | val_loss=2.0629 | val_acc=0.2870 | time=20.5s
Epoch [22/50] | train_loss=2.0943 | train_acc=0.2500 | val_loss=2.0661 | val_acc=0.2810 | time=20.5s
Epoch [23/50] | train_loss=2.0894 | train_acc=0.2540 | val_loss=2.0598 | val_acc=0.2828 | time=20.6s
Epoch [24/50] | train_loss=2.0886 | train_acc=0.2526 | val_loss=2.0912 | val_acc=0.2613 | time=20.7s
Epoch [25/50] | train_loss=2.0847 | train_acc=0.2581 | val_loss=2.0574 | val_acc=0.2878 | time=20.6s
Epoch [26/50] | train_loss=2.0869 | train_acc=0.2568 | val_loss=2.0508 | val_acc=0.2862 | time=20.6s
Epoch [27/50] | train_loss=2.0813 | train_acc=0.2576 | val_loss=2.0526 | val_acc=0.2838 | time=20.6s
Epoch [28/50] | train_loss=2.0816 | train_acc=0.2601 | val_loss=2.0474 | val_acc=0.2878 | time=20.6s
Epoch [29/50] | train_loss=2.0830 | train_acc=0.2546 | val_loss=2.0474 | val_acc=0.2847 | time=20.6s
Epoch [30/50] | train_loss=2.0787 | train_acc=0.2571 | val_loss=2.0458 | val_acc=0.2883 | time=20.6s
Epoch [31/50] | train_loss=2.0748 | train_acc=0.2607 | val_loss=2.0434 | val_acc=0.2905 | time=20.5s
Epoch [32/50] | train_loss=2.0781 | train_acc=0.2587 | val_loss=2.0401 | val_acc=0.2853 | time=20.6s
