Epoch 01/50 | train_loss=2.0293 | train_acc=0.2399 | val_loss=1.9236 | val_acc=0.2988 | time=49.5s
Epoch 02/50 | train_loss=1.6928 | train_acc=0.3867 | val_loss=1.7095 | val_acc=0.4192 | time=49.0s
Epoch 03/50 | train_loss=1.4089 | train_acc=0.5035 | val_loss=1.8362 | val_acc=0.4012 | time=49.3s
Epoch 04/50 | train_loss=1.2251 | train_acc=0.5697 | val_loss=1.4327 | val_acc=0.5032 | time=50.6s
Epoch 05/50 | train_loss=1.0937 | train_acc=0.6160 | val_loss=1.1506 | val_acc=0.5943 | time=50.4s
Epoch 06/50 | train_loss=0.9653 | train_acc=0.6680 | val_loss=0.9490 | val_acc=0.6692 | time=49.3s
Epoch 07/50 | train_loss=0.8587 | train_acc=0.7109 | val_loss=0.9170 | val_acc=0.6828 | time=49.4s
Epoch 08/50 | train_loss=0.7581 | train_acc=0.7430 | val_loss=0.9904 | val_acc=0.6827 | time=49.4s
Epoch 09/50 | train_loss=0.6775 | train_acc=0.7719 | val_loss=0.7934 | val_acc=0.7328 | time=49.3s
Epoch 10/50 | train_loss=0.5922 | train_acc=0.7998 | val_loss=0.7652 | val_acc=0.7462 | time=49.4s
Epoch 11/50 | train_loss=0.5252 | train_acc=0.8229 | val_loss=0.6488 | val_acc=0.7815 | time=49.3s
Epoch 12/50 | train_loss=0.4656 | train_acc=0.8451 | val_loss=1.2974 | val_acc=0.6273 | time=49.3s
Epoch 13/50 | train_loss=0.4275 | train_acc=0.8571 | val_loss=0.6709 | val_acc=0.7843 | time=49.4s
Epoch 14/50 | train_loss=0.3755 | train_acc=0.8752 | val_loss=0.9040 | val_acc=0.7142 | time=49.3s
Epoch 15/50 | train_loss=0.3371 | train_acc=0.8885 | val_loss=0.6433 | val_acc=0.8098 | time=49.4s
Epoch 16/50 | train_loss=0.3020 | train_acc=0.8999 | val_loss=0.6951 | val_acc=0.7847 | time=49.4s
Epoch 17/50 | train_loss=0.2733 | train_acc=0.9099 | val_loss=0.7072 | val_acc=0.7965 | time=49.3s
Epoch 18/50 | train_loss=0.2452 | train_acc=0.9189 | val_loss=0.6184 | val_acc=0.8107 | time=49.3s
Epoch 19/50 | train_loss=0.2158 | train_acc=0.9278 | val_loss=1.0488 | val_acc=0.7383 | time=49.3s
Epoch 20/50 | train_loss=0.2081 | train_acc=0.9325 | val_loss=0.8045 | val_acc=0.7905 | time=49.4s
Epoch 21/50 | train_loss=0.1968 | train_acc=0.9350 | val_loss=0.5707 | val_acc=0.8335 | time=49.3s
Epoch 22/50 | train_loss=0.1754 | train_acc=0.9425 | val_loss=1.2364 | val_acc=0.7332 | time=49.3s
Epoch 23/50 | train_loss=0.1635 | train_acc=0.9464 | val_loss=1.0235 | val_acc=0.7523 | time=49.3s
Epoch 24/50 | train_loss=0.1500 | train_acc=0.9503 | val_loss=0.8379 | val_acc=0.7828 | time=49.4s
Epoch 25/50 | train_loss=0.1396 | train_acc=0.9530 | val_loss=0.6554 | val_acc=0.8170 | time=49.4s
Epoch 26/50 | train_loss=0.1389 | train_acc=0.9556 | val_loss=1.0214 | val_acc=0.7645 | time=49.3s
Epoch 27/50 | train_loss=0.1319 | train_acc=0.9573 | val_loss=0.6987 | val_acc=0.8142 | time=49.3s
Epoch 28/50 | train_loss=0.1219 | train_acc=0.9617 | val_loss=0.6172 | val_acc=0.8307 | time=49.3s
Epoch 29/50 | train_loss=0.1015 | train_acc=0.9676 | val_loss=0.5507 | val_acc=0.8428 | time=49.3s
Epoch 30/50 | train_loss=0.1194 | train_acc=0.9612 | val_loss=0.8919 | val_acc=0.7842 | time=49.3s
Epoch 31/50 | train_loss=0.0947 | train_acc=0.9692 | val_loss=1.8043 | val_acc=0.6905 | time=49.3s
Epoch 32/50 | train_loss=0.1152 | train_acc=0.9621 | val_loss=0.6076 | val_acc=0.8423 | time=49.4s
Epoch 33/50 | train_loss=0.0874 | train_acc=0.9727 | val_loss=0.6225 | val_acc=0.8392 | time=49.4s
Epoch 34/50 | train_loss=0.0966 | train_acc=0.9692 | val_loss=0.9770 | val_acc=0.7863 | time=49.6s
Epoch 35/50 | train_loss=0.1011 | train_acc=0.9658 | val_loss=0.8202 | val_acc=0.7957 | time=49.6s
Epoch 36/50 | train_loss=0.0869 | train_acc=0.9727 | val_loss=0.9192 | val_acc=0.7953 | time=49.4s
Epoch 37/50 | train_loss=0.0818 | train_acc=0.9739 | val_loss=1.8124 | val_acc=0.7193 | time=49.4s
Epoch 38/50 | train_loss=0.0872 | train_acc=0.9724 | val_loss=0.5990 | val_acc=0.8398 | time=49.3s
Epoch 39/50 | train_loss=0.0928 | train_acc=0.9705 | val_loss=0.7489 | val_acc=0.8107 | time=49.3s
Epoch 40/50 | train_loss=0.0817 | train_acc=0.9738 | val_loss=0.5816 | val_acc=0.8380 | time=49.3s
Epoch 41/50 | train_loss=0.0698 | train_acc=0.9790 | val_loss=1.1507 | val_acc=0.7543 | time=49.3s
Epoch 42/50 | train_loss=0.0777 | train_acc=0.9762 | val_loss=0.6461 | val_acc=0.8173 | time=49.3s
Epoch 43/50 | train_loss=0.0896 | train_acc=0.9714 | val_loss=0.9588 | val_acc=0.7743 | time=49.4s
Epoch 44/50 | train_loss=0.0654 | train_acc=0.9803 | val_loss=0.9110 | val_acc=0.8020 | time=49.3s
Epoch 45/50 | train_loss=0.0823 | train_acc=0.9755 | val_loss=1.2567 | val_acc=0.7590 | time=49.3s
Epoch 46/50 | train_loss=0.0838 | train_acc=0.9729 | val_loss=0.5905 | val_acc=0.8462 | time=49.4s
Epoch 47/50 | train_loss=0.0652 | train_acc=0.9793 | val_loss=1.3098 | val_acc=0.7792 | time=49.3s
Epoch 48/50 | train_loss=0.0755 | train_acc=0.9753 | val_loss=1.1354 | val_acc=0.7750 | time=49.4s
Epoch 49/50 | train_loss=0.0795 | train_acc=0.9743 | val_loss=0.6795 | val_acc=0.8297 | time=49.4s
Epoch 50/50 | train_loss=0.0919 | train_acc=0.9710 | val_loss=0.8341 | val_acc=0.8007 | time=49.3s
