Epoch 01/50 | train_loss=1.6307 | train_acc=0.4188 | val_loss=1.7389 | val_acc=0.4123 | time=48.4s
Epoch 02/50 | train_loss=1.2069 | train_acc=0.5755 | val_loss=1.1553 | val_acc=0.5995 | time=48.5s
Epoch 03/50 | train_loss=1.0012 | train_acc=0.6568 | val_loss=1.0892 | val_acc=0.6188 | time=48.5s
Epoch 04/50 | train_loss=0.8474 | train_acc=0.7102 | val_loss=1.3062 | val_acc=0.5933 | time=48.5s
Epoch 05/50 | train_loss=0.7110 | train_acc=0.7592 | val_loss=0.9698 | val_acc=0.6755 | time=48.5s
Epoch 06/50 | train_loss=0.5903 | train_acc=0.8029 | val_loss=0.8499 | val_acc=0.7312 | time=48.5s
Epoch 07/50 | train_loss=0.5195 | train_acc=0.8254 | val_loss=0.7185 | val_acc=0.7623 | time=48.4s
Epoch 08/50 | train_loss=0.4390 | train_acc=0.8532 | val_loss=1.0539 | val_acc=0.6777 | time=48.4s
Epoch 09/50 | train_loss=0.3831 | train_acc=0.8750 | val_loss=0.9711 | val_acc=0.7232 | time=48.4s
Epoch 10/50 | train_loss=0.3240 | train_acc=0.8922 | val_loss=0.6918 | val_acc=0.7833 | time=48.4s
Epoch 11/50 | train_loss=0.2817 | train_acc=0.9070 | val_loss=0.5800 | val_acc=0.8123 | time=48.5s
Epoch 12/50 | train_loss=0.2305 | train_acc=0.9227 | val_loss=1.1697 | val_acc=0.7060 | time=48.4s
Epoch 13/50 | train_loss=0.2021 | train_acc=0.9339 | val_loss=1.0806 | val_acc=0.7360 | time=48.4s
Epoch 14/50 | train_loss=0.1644 | train_acc=0.9463 | val_loss=0.5919 | val_acc=0.8255 | time=48.5s
Epoch 15/50 | train_loss=0.1416 | train_acc=0.9547 | val_loss=0.9470 | val_acc=0.7363 | time=48.4s
Epoch 16/50 | train_loss=0.1235 | train_acc=0.9610 | val_loss=1.0157 | val_acc=0.7565 | time=48.4s
Epoch 17/50 | train_loss=0.1016 | train_acc=0.9671 | val_loss=0.5641 | val_acc=0.8408 | time=48.4s
Epoch 18/50 | train_loss=0.0808 | train_acc=0.9747 | val_loss=0.6753 | val_acc=0.8275 | time=48.4s
Epoch 19/50 | train_loss=0.0638 | train_acc=0.9808 | val_loss=0.6674 | val_acc=0.8357 | time=48.4s
Epoch 20/50 | train_loss=0.0732 | train_acc=0.9769 | val_loss=0.5955 | val_acc=0.8400 | time=48.4s
Epoch 21/50 | train_loss=0.0489 | train_acc=0.9852 | val_loss=0.7286 | val_acc=0.8373 | time=48.7s
Epoch 22/50 | train_loss=0.0375 | train_acc=0.9895 | val_loss=0.7671 | val_acc=0.8183 | time=48.5s
Epoch 23/50 | train_loss=0.0455 | train_acc=0.9873 | val_loss=0.7608 | val_acc=0.8250 | time=48.4s
Epoch 24/50 | train_loss=0.0295 | train_acc=0.9918 | val_loss=0.6307 | val_acc=0.8510 | time=48.4s
Epoch 25/50 | train_loss=0.0275 | train_acc=0.9928 | val_loss=0.7489 | val_acc=0.8340 | time=48.4s
Epoch 26/50 | train_loss=0.0364 | train_acc=0.9895 | val_loss=0.7308 | val_acc=0.8365 | time=48.5s
Epoch 27/50 | train_loss=0.0299 | train_acc=0.9918 | val_loss=0.8807 | val_acc=0.8175 | time=48.4s
Epoch 28/50 | train_loss=0.0316 | train_acc=0.9917 | val_loss=0.6749 | val_acc=0.8445 | time=48.4s
Epoch 29/50 | train_loss=0.0378 | train_acc=0.9891 | val_loss=0.5014 | val_acc=0.8698 | time=48.5s
Epoch 30/50 | train_loss=0.0234 | train_acc=0.9934 | val_loss=0.5901 | val_acc=0.8575 | time=48.5s
Epoch 31/50 | train_loss=0.0160 | train_acc=0.9959 | val_loss=0.5811 | val_acc=0.8583 | time=48.5s
Epoch 32/50 | train_loss=0.0077 | train_acc=0.9989 | val_loss=0.4817 | val_acc=0.8728 | time=48.5s
Epoch 33/50 | train_loss=0.0077 | train_acc=0.9983 | val_loss=0.4445 | val_acc=0.8840 | time=48.5s
Epoch 34/50 | train_loss=0.0036 | train_acc=0.9995 | val_loss=0.4125 | val_acc=0.8937 | time=48.4s
Epoch 35/50 | train_loss=0.0020 | train_acc=0.9999 | val_loss=0.4184 | val_acc=0.8950 | time=48.4s
Epoch 36/50 | train_loss=0.0015 | train_acc=1.0000 | val_loss=0.4134 | val_acc=0.8957 | time=48.4s
Epoch 37/50 | train_loss=0.0018 | train_acc=0.9998 | val_loss=0.4128 | val_acc=0.8980 | time=48.4s
Epoch 38/50 | train_loss=0.0013 | train_acc=0.9999 | val_loss=0.4246 | val_acc=0.8937 | time=48.4s
Epoch 39/50 | train_loss=0.0017 | train_acc=0.9999 | val_loss=0.4044 | val_acc=0.8982 | time=48.4s
Epoch 40/50 | train_loss=0.0017 | train_acc=0.9998 | val_loss=0.4083 | val_acc=0.8960 | time=48.4s
Epoch 41/50 | train_loss=0.0010 | train_acc=1.0000 | val_loss=0.3953 | val_acc=0.9012 | time=48.4s
Epoch 42/50 | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.4059 | val_acc=0.8997 | time=48.4s
Epoch 43/50 | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.3931 | val_acc=0.9020 | time=48.5s
Epoch 44/50 | train_loss=0.0007 | train_acc=1.0000 | val_loss=0.3903 | val_acc=0.9020 | time=48.5s
Epoch 45/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3806 | val_acc=0.9017 | time=48.4s
Epoch 46/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3865 | val_acc=0.9023 | time=48.4s
Epoch 47/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3860 | val_acc=0.9013 | time=48.4s
Epoch 48/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3820 | val_acc=0.9042 | time=48.5s
Epoch 49/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3867 | val_acc=0.9028 | time=48.5s
Epoch 50/50 | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3773 | val_acc=0.9020 | time=48.7s
