Epoch 01/50 | train_loss=1.8272 | train_acc=0.3539 | val_loss=1.6716 | val_acc=0.4193 | time=49.3s
Epoch 02/50 | train_loss=1.4138 | train_acc=0.5100 | val_loss=1.5880 | val_acc=0.4402 | time=49.0s
Epoch 03/50 | train_loss=1.1948 | train_acc=0.5869 | val_loss=1.1576 | val_acc=0.6145 | time=49.0s
Epoch 04/50 | train_loss=1.0399 | train_acc=0.6444 | val_loss=1.1022 | val_acc=0.6100 | time=49.0s
Epoch 05/50 | train_loss=0.9162 | train_acc=0.6879 | val_loss=1.2927 | val_acc=0.5495 | time=49.0s
Epoch 06/50 | train_loss=0.8228 | train_acc=0.7204 | val_loss=0.9908 | val_acc=0.6565 | time=49.0s
Epoch 07/50 | train_loss=0.7384 | train_acc=0.7533 | val_loss=1.0154 | val_acc=0.6497 | time=49.1s
Epoch 08/50 | train_loss=0.6569 | train_acc=0.7837 | val_loss=0.7816 | val_acc=0.7412 | time=49.1s
Epoch 09/50 | train_loss=0.5842 | train_acc=0.8087 | val_loss=0.9804 | val_acc=0.6738 | time=49.1s
Epoch 10/50 | train_loss=0.5278 | train_acc=0.8294 | val_loss=0.7625 | val_acc=0.7468 | time=49.1s
Epoch 11/50 | train_loss=0.4719 | train_acc=0.8468 | val_loss=0.8569 | val_acc=0.7307 | time=49.1s
Epoch 12/50 | train_loss=0.4110 | train_acc=0.8708 | val_loss=1.3007 | val_acc=0.6347 | time=49.1s
Epoch 13/50 | train_loss=0.3588 | train_acc=0.8858 | val_loss=1.0711 | val_acc=0.7037 | time=49.1s
Epoch 14/50 | train_loss=0.3053 | train_acc=0.9044 | val_loss=0.7257 | val_acc=0.7590 | time=49.1s
Epoch 15/50 | train_loss=0.2648 | train_acc=0.9200 | val_loss=0.6825 | val_acc=0.7750 | time=49.1s
Epoch 16/50 | train_loss=0.2270 | train_acc=0.9327 | val_loss=0.9577 | val_acc=0.7273 | time=49.1s
Epoch 17/50 | train_loss=0.1893 | train_acc=0.9447 | val_loss=0.8853 | val_acc=0.7702 | time=49.0s
Epoch 18/50 | train_loss=0.1633 | train_acc=0.9538 | val_loss=0.7815 | val_acc=0.7780 | time=49.0s
Epoch 19/50 | train_loss=0.1373 | train_acc=0.9637 | val_loss=0.8205 | val_acc=0.7670 | time=49.0s
Epoch 20/50 | train_loss=0.1010 | train_acc=0.9769 | val_loss=0.8920 | val_acc=0.7657 | time=49.0s
Epoch 21/50 | train_loss=0.0916 | train_acc=0.9778 | val_loss=1.0800 | val_acc=0.7085 | time=49.1s
Epoch 22/50 | train_loss=0.0681 | train_acc=0.9851 | val_loss=0.9193 | val_acc=0.7537 | time=49.0s
Epoch 23/50 | train_loss=0.0571 | train_acc=0.9888 | val_loss=0.7347 | val_acc=0.7952 | time=49.0s
Epoch 24/50 | train_loss=0.0439 | train_acc=0.9921 | val_loss=1.7035 | val_acc=0.6413 | time=49.1s
Epoch 25/50 | train_loss=0.0374 | train_acc=0.9933 | val_loss=0.5131 | val_acc=0.8488 | time=49.1s
Epoch 26/50 | train_loss=0.0327 | train_acc=0.9943 | val_loss=0.7183 | val_acc=0.8033 | time=49.0s
Epoch 27/50 | train_loss=0.0244 | train_acc=0.9965 | val_loss=0.5736 | val_acc=0.8273 | time=49.0s
Epoch 28/50 | train_loss=0.0239 | train_acc=0.9968 | val_loss=0.7774 | val_acc=0.7807 | time=49.0s
Epoch 29/50 | train_loss=0.0189 | train_acc=0.9980 | val_loss=0.5919 | val_acc=0.8302 | time=49.1s
Epoch 30/50 | train_loss=0.0201 | train_acc=0.9974 | val_loss=0.6804 | val_acc=0.8173 | time=49.1s
Epoch 31/50 | train_loss=0.0153 | train_acc=0.9982 | val_loss=0.5673 | val_acc=0.8378 | time=49.1s
Epoch 32/50 | train_loss=0.0077 | train_acc=0.9998 | val_loss=0.4878 | val_acc=0.8540 | time=49.1s
Epoch 33/50 | train_loss=0.0064 | train_acc=0.9999 | val_loss=0.4747 | val_acc=0.8613 | time=49.1s
