Epoch 01/50 | train_loss=2.1581 | train_acc=0.2120 | val_loss=2.0259 | val_acc=0.3065 | time=49.0s
Epoch 02/50 | train_loss=1.9896 | train_acc=0.2984 | val_loss=1.9070 | val_acc=0.3582 | time=49.0s
Epoch 03/50 | train_loss=1.8786 | train_acc=0.3484 | val_loss=1.7882 | val_acc=0.3993 | time=49.0s
Epoch 04/50 | train_loss=1.7627 | train_acc=0.3946 | val_loss=1.6731 | val_acc=0.4502 | time=49.0s
Epoch 05/50 | train_loss=1.6609 | train_acc=0.4294 | val_loss=1.5807 | val_acc=0.4708 | time=49.0s
Epoch 06/50 | train_loss=1.5622 | train_acc=0.4631 | val_loss=1.4737 | val_acc=0.5082 | time=49.0s
Epoch 07/50 | train_loss=1.4863 | train_acc=0.4913 | val_loss=1.4126 | val_acc=0.5168 | time=49.0s
Epoch 08/50 | train_loss=1.4153 | train_acc=0.5126 | val_loss=1.3479 | val_acc=0.5485 | time=49.0s
Epoch 09/50 | train_loss=1.3632 | train_acc=0.5327 | val_loss=1.3373 | val_acc=0.5422 | time=49.0s
Epoch 10/50 | train_loss=1.3083 | train_acc=0.5509 | val_loss=1.2859 | val_acc=0.5560 | time=49.0s
Epoch 11/50 | train_loss=1.2668 | train_acc=0.5712 | val_loss=1.2636 | val_acc=0.5570 | time=49.0s
Epoch 12/50 | train_loss=1.2249 | train_acc=0.5810 | val_loss=1.2278 | val_acc=0.5725 | time=49.0s
Epoch 13/50 | train_loss=1.1888 | train_acc=0.5982 | val_loss=1.1912 | val_acc=0.5877 | time=49.0s
Epoch 14/50 | train_loss=1.1493 | train_acc=0.6115 | val_loss=1.1307 | val_acc=0.6085 | time=49.0s
Epoch 15/50 | train_loss=1.1121 | train_acc=0.6230 | val_loss=1.2061 | val_acc=0.5777 | time=49.2s
Epoch 16/50 | train_loss=1.0827 | train_acc=0.6340 | val_loss=1.0862 | val_acc=0.6317 | time=49.2s
Epoch 17/50 | train_loss=1.0514 | train_acc=0.6456 | val_loss=1.0890 | val_acc=0.6265 | time=49.1s
Epoch 18/50 | train_loss=1.0198 | train_acc=0.6568 | val_loss=1.0417 | val_acc=0.6372 | time=49.0s
Epoch 19/50 | train_loss=0.9862 | train_acc=0.6713 | val_loss=1.0386 | val_acc=0.6463 | time=49.0s
Epoch 20/50 | train_loss=0.9592 | train_acc=0.6778 | val_loss=1.0880 | val_acc=0.6213 | time=49.0s
Epoch 21/50 | train_loss=0.9294 | train_acc=0.6928 | val_loss=0.9942 | val_acc=0.6597 | time=49.0s
Epoch 22/50 | train_loss=0.9015 | train_acc=0.7008 | val_loss=1.1226 | val_acc=0.6192 | time=49.0s
Epoch 23/50 | train_loss=0.8766 | train_acc=0.7083 | val_loss=1.0643 | val_acc=0.6310 | time=49.0s
Epoch 24/50 | train_loss=0.8430 | train_acc=0.7212 | val_loss=1.0073 | val_acc=0.6517 | time=49.0s
Epoch 25/50 | train_loss=0.8225 | train_acc=0.7304 | val_loss=0.9526 | val_acc=0.6735 | time=49.0s
Epoch 26/50 | train_loss=0.7889 | train_acc=0.7415 | val_loss=0.9550 | val_acc=0.6710 | time=49.0s
Epoch 27/50 | train_loss=0.7633 | train_acc=0.7530 | val_loss=1.0239 | val_acc=0.6558 | time=49.0s
Epoch 28/50 | train_loss=0.7373 | train_acc=0.7601 | val_loss=1.0715 | val_acc=0.6382 | time=49.0s
Epoch 29/50 | train_loss=0.7069 | train_acc=0.7747 | val_loss=0.8864 | val_acc=0.7022 | time=49.0s
Epoch 30/50 | train_loss=0.6816 | train_acc=0.7838 | val_loss=0.8946 | val_acc=0.6907 | time=49.0s
Epoch 31/50 | train_loss=0.6496 | train_acc=0.7912 | val_loss=0.9444 | val_acc=0.6790 | time=49.0s
Epoch 32/50 | train_loss=0.6262 | train_acc=0.8035 | val_loss=0.8945 | val_acc=0.6965 | time=49.0s
Epoch 33/50 | train_loss=0.5940 | train_acc=0.8155 | val_loss=0.8927 | val_acc=0.7022 | time=49.0s
Epoch 34/50 | train_loss=0.5635 | train_acc=0.8270 | val_loss=1.0272 | val_acc=0.6610 | time=49.0s
Epoch 35/50 | train_loss=0.5466 | train_acc=0.8340 | val_loss=1.0500 | val_acc=0.6460 | time=49.0s
Epoch 36/50 | train_loss=0.5167 | train_acc=0.8459 | val_loss=1.2060 | val_acc=0.6235 | time=49.0s
Epoch 37/50 | train_loss=0.4846 | train_acc=0.8568 | val_loss=0.9010 | val_acc=0.7000 | time=49.0s
