Epoch 01/50 | train_loss=2.3304 | train_acc=0.1134 | val_loss=2.2569 | val_acc=0.1538 | time=49.3s
Epoch 02/50 | train_loss=2.2572 | train_acc=0.1555 | val_loss=2.1964 | val_acc=0.2002 | time=49.1s
Epoch 03/50 | train_loss=2.2074 | train_acc=0.1881 | val_loss=2.1630 | val_acc=0.2343 | time=49.1s
Epoch 04/50 | train_loss=2.1787 | train_acc=0.2005 | val_loss=2.1347 | val_acc=0.2640 | time=49.2s
Epoch 05/50 | train_loss=2.1534 | train_acc=0.2205 | val_loss=2.1110 | val_acc=0.2842 | time=49.2s
Epoch 06/50 | train_loss=2.1283 | train_acc=0.2312 | val_loss=2.0912 | val_acc=0.2927 | time=49.2s
Epoch 07/50 | train_loss=2.1081 | train_acc=0.2410 | val_loss=2.0754 | val_acc=0.2952 | time=49.2s
Epoch 08/50 | train_loss=2.0903 | train_acc=0.2507 | val_loss=2.0539 | val_acc=0.2998 | time=49.2s
Epoch 09/50 | train_loss=2.0684 | train_acc=0.2607 | val_loss=2.0361 | val_acc=0.3040 | time=49.2s
Epoch 10/50 | train_loss=2.0565 | train_acc=0.2672 | val_loss=2.0197 | val_acc=0.3115 | time=49.2s
Epoch 11/50 | train_loss=2.0367 | train_acc=0.2765 | val_loss=2.0051 | val_acc=0.3165 | time=49.2s
Epoch 12/50 | train_loss=2.0234 | train_acc=0.2828 | val_loss=1.9959 | val_acc=0.3205 | time=49.2s
Epoch 13/50 | train_loss=2.0131 | train_acc=0.2910 | val_loss=1.9792 | val_acc=0.3255 | time=49.2s
Epoch 14/50 | train_loss=1.9944 | train_acc=0.2925 | val_loss=1.9642 | val_acc=0.3302 | time=49.2s
Epoch 15/50 | train_loss=1.9842 | train_acc=0.3012 | val_loss=1.9518 | val_acc=0.3418 | time=49.2s
Epoch 16/50 | train_loss=1.9724 | train_acc=0.3087 | val_loss=1.9363 | val_acc=0.3460 | time=49.2s
Epoch 17/50 | train_loss=1.9573 | train_acc=0.3116 | val_loss=1.9209 | val_acc=0.3530 | time=49.2s
Epoch 18/50 | train_loss=1.9409 | train_acc=0.3205 | val_loss=1.9102 | val_acc=0.3568 | time=49.2s
Epoch 19/50 | train_loss=1.9273 | train_acc=0.3294 | val_loss=1.8968 | val_acc=0.3638 | time=49.2s
Epoch 20/50 | train_loss=1.9191 | train_acc=0.3335 | val_loss=1.8840 | val_acc=0.3685 | time=49.2s
Epoch 21/50 | train_loss=1.9004 | train_acc=0.3407 | val_loss=1.8728 | val_acc=0.3707 | time=49.1s
Epoch 22/50 | train_loss=1.8904 | train_acc=0.3430 | val_loss=1.8587 | val_acc=0.3788 | time=49.2s
Epoch 23/50 | train_loss=1.8795 | train_acc=0.3481 | val_loss=1.8429 | val_acc=0.3832 | time=49.2s
Epoch 24/50 | train_loss=1.8662 | train_acc=0.3537 | val_loss=1.8292 | val_acc=0.3848 | time=49.2s
Epoch 25/50 | train_loss=1.8557 | train_acc=0.3545 | val_loss=1.8173 | val_acc=0.3883 | time=49.2s
Epoch 26/50 | train_loss=1.8396 | train_acc=0.3625 | val_loss=1.8066 | val_acc=0.3918 | time=49.2s
Epoch 27/50 | train_loss=1.8288 | train_acc=0.3638 | val_loss=1.7908 | val_acc=0.3955 | time=49.2s
Epoch 28/50 | train_loss=1.8187 | train_acc=0.3679 | val_loss=1.7769 | val_acc=0.4038 | time=49.2s
Epoch 29/50 | train_loss=1.8033 | train_acc=0.3764 | val_loss=1.7673 | val_acc=0.4063 | time=49.2s
Epoch 30/50 | train_loss=1.7951 | train_acc=0.3805 | val_loss=1.7540 | val_acc=0.4100 | time=49.4s
Epoch 31/50 | train_loss=1.7788 | train_acc=0.3821 | val_loss=1.7448 | val_acc=0.4138 | time=49.4s
Epoch 32/50 | train_loss=1.7684 | train_acc=0.3884 | val_loss=1.7305 | val_acc=0.4172 | time=49.3s
Epoch 33/50 | train_loss=1.7589 | train_acc=0.3937 | val_loss=1.7166 | val_acc=0.4208 | time=49.2s
Epoch 34/50 | train_loss=1.7449 | train_acc=0.3958 | val_loss=1.7148 | val_acc=0.4208 | time=49.2s
Epoch 35/50 | train_loss=1.7350 | train_acc=0.4050 | val_loss=1.6943 | val_acc=0.4330 | time=49.1s
Epoch 36/50 | train_loss=1.7255 | train_acc=0.4068 | val_loss=1.6800 | val_acc=0.4323 | time=49.2s
Epoch 37/50 | train_loss=1.7122 | train_acc=0.4114 | val_loss=1.6720 | val_acc=0.4348 | time=49.2s
Epoch 38/50 | train_loss=1.7004 | train_acc=0.4148 | val_loss=1.6670 | val_acc=0.4380 | time=49.2s
Epoch 39/50 | train_loss=1.6894 | train_acc=0.4180 | val_loss=1.6570 | val_acc=0.4423 | time=49.2s
Epoch 40/50 | train_loss=1.6772 | train_acc=0.4232 | val_loss=1.6412 | val_acc=0.4443 | time=49.2s
Epoch 41/50 | train_loss=1.6683 | train_acc=0.4262 | val_loss=1.6296 | val_acc=0.4508 | time=49.2s
Epoch 42/50 | train_loss=1.6568 | train_acc=0.4308 | val_loss=1.6171 | val_acc=0.4563 | time=49.2s
Epoch 43/50 | train_loss=1.6468 | train_acc=0.4333 | val_loss=1.6041 | val_acc=0.4578 | time=49.1s
Epoch 44/50 | train_loss=1.6393 | train_acc=0.4349 | val_loss=1.5938 | val_acc=0.4603 | time=49.3s
Epoch 45/50 | train_loss=1.6285 | train_acc=0.4411 | val_loss=1.5807 | val_acc=0.4623 | time=49.2s
Epoch 46/50 | train_loss=1.6166 | train_acc=0.4446 | val_loss=1.5758 | val_acc=0.4708 | time=49.2s
Epoch 47/50 | train_loss=1.6090 | train_acc=0.4484 | val_loss=1.5672 | val_acc=0.4738 | time=49.1s
Epoch 48/50 | train_loss=1.5976 | train_acc=0.4552 | val_loss=1.5535 | val_acc=0.4782 | time=49.2s
Epoch 49/50 | train_loss=1.5869 | train_acc=0.4562 | val_loss=1.5447 | val_acc=0.4793 | time=49.2s
Epoch 50/50 | train_loss=1.5770 | train_acc=0.4590 | val_loss=1.5367 | val_acc=0.4817 | time=49.2s
