Epoch [01/50] | train_loss=1.7805 | train_acc=0.3726 | val_loss=1.5002 | val_acc=0.4737 | time=72.1s
Epoch [02/50] | train_loss=1.3840 | train_acc=0.5223 | val_loss=2.0908 | val_acc=0.3685 | time=54.5s
Epoch [03/50] | train_loss=1.1888 | train_acc=0.5932 | val_loss=2.5703 | val_acc=0.3217 | time=54.7s
Epoch [04/50] | train_loss=1.0468 | train_acc=0.6424 | val_loss=1.1278 | val_acc=0.6027 | time=54.4s
Epoch [05/50] | train_loss=0.9308 | train_acc=0.6847 | val_loss=1.4881 | val_acc=0.5095 | time=54.4s
Epoch [06/50] | train_loss=0.8375 | train_acc=0.7170 | val_loss=1.0087 | val_acc=0.6568 | time=54.7s
Epoch [07/50] | train_loss=0.7567 | train_acc=0.7481 | val_loss=1.1879 | val_acc=0.5880 | time=54.7s
Epoch [08/50] | train_loss=0.6885 | train_acc=0.7710 | val_loss=1.2071 | val_acc=0.5923 | time=54.7s
Epoch [09/50] | train_loss=0.6193 | train_acc=0.7957 | val_loss=1.2928 | val_acc=0.6053 | time=54.7s
Epoch [10/50] | train_loss=0.5516 | train_acc=0.8205 | val_loss=0.8110 | val_acc=0.7320 | time=54.8s
Epoch [11/50] | train_loss=0.4978 | train_acc=0.8404 | val_loss=0.8371 | val_acc=0.7195 | time=53.1s
Epoch [12/50] | train_loss=0.4435 | train_acc=0.8571 | val_loss=0.7552 | val_acc=0.7475 | time=54.1s
Epoch [13/50] | train_loss=0.3957 | train_acc=0.8745 | val_loss=2.2523 | val_acc=0.5168 | time=53.5s
Epoch [14/50] | train_loss=0.3516 | train_acc=0.8867 | val_loss=1.0772 | val_acc=0.6818 | time=53.1s
Epoch [15/50] | train_loss=0.2962 | train_acc=0.9089 | val_loss=0.8727 | val_acc=0.7183 | time=53.5s
Epoch [16/50] | train_loss=0.2568 | train_acc=0.9237 | val_loss=2.1042 | val_acc=0.5667 | time=55.1s
Epoch [17/50] | train_loss=0.2192 | train_acc=0.9362 | val_loss=3.5413 | val_acc=0.4513 | time=55.2s
Epoch [18/50] | train_loss=0.1800 | train_acc=0.9473 | val_loss=0.7978 | val_acc=0.7580 | time=54.7s
Epoch [19/50] | train_loss=0.1528 | train_acc=0.9588 | val_loss=1.3839 | val_acc=0.6462 | time=54.5s
Epoch [20/50] | train_loss=0.1165 | train_acc=0.9707 | val_loss=0.7282 | val_acc=0.7767 | time=54.6s
Epoch [21/50] | train_loss=0.0957 | train_acc=0.9775 | val_loss=1.4468 | val_acc=0.6417 | time=55.3s
Epoch [22/50] | train_loss=0.0765 | train_acc=0.9825 | val_loss=1.2141 | val_acc=0.6873 | time=53.2s
Epoch [23/50] | train_loss=0.0656 | train_acc=0.9862 | val_loss=0.6005 | val_acc=0.8193 | time=53.5s
Epoch [24/50] | train_loss=0.0382 | train_acc=0.9943 | val_loss=0.9919 | val_acc=0.7582 | time=53.3s
Epoch [25/50] | train_loss=0.0319 | train_acc=0.9959 | val_loss=1.0283 | val_acc=0.7272 | time=53.8s
Epoch [26/50] | train_loss=0.0248 | train_acc=0.9972 | val_loss=2.2701 | val_acc=0.5747 | time=53.2s
Epoch [27/50] | train_loss=0.0195 | train_acc=0.9980 | val_loss=0.9510 | val_acc=0.7633 | time=53.2s
Epoch [28/50] | train_loss=0.0150 | train_acc=0.9990 | val_loss=0.5022 | val_acc=0.8465 | time=54.1s
Epoch [29/50] | train_loss=0.0125 | train_acc=0.9992 | val_loss=0.4573 | val_acc=0.8612 | time=53.9s
Epoch [30/50] | train_loss=0.0105 | train_acc=0.9994 | val_loss=0.4887 | val_acc=0.8542 | time=53.8s
Epoch [31/50] | train_loss=0.0110 | train_acc=0.9991 | val_loss=0.5507 | val_acc=0.8392 | time=53.5s
Epoch [32/50] | train_loss=0.0081 | train_acc=0.9996 | val_loss=0.6685 | val_acc=0.8172 | time=53.5s
Epoch [33/50] | train_loss=0.0068 | train_acc=0.9999 | val_loss=0.4285 | val_acc=0.8658 | time=52.3s
Epoch [34/50] | train_loss=0.0065 | train_acc=0.9998 | val_loss=0.4793 | val_acc=0.8572 | time=52.2s
Epoch [35/50] | train_loss=0.0051 | train_acc=1.0000 | val_loss=0.4318 | val_acc=0.8640 | time=52.5s
Epoch [36/50] | train_loss=0.0048 | train_acc=0.9999 | val_loss=0.7773 | val_acc=0.7997 | time=52.7s
Epoch [37/50] | train_loss=0.0043 | train_acc=1.0000 | val_loss=0.4093 | val_acc=0.8715 | time=52.5s
Epoch [38/50] | train_loss=0.0060 | train_acc=0.9996 | val_loss=0.4440 | val_acc=0.8627 | time=54.3s
Epoch [39/50] | train_loss=0.0040 | train_acc=1.0000 | val_loss=0.4486 | val_acc=0.8598 | time=54.1s
Epoch [40/50] | train_loss=0.0035 | train_acc=1.0000 | val_loss=0.4211 | val_acc=0.8707 | time=53.7s
Epoch [41/50] | train_loss=0.0035 | train_acc=1.0000 | val_loss=0.4415 | val_acc=0.8667 | time=54.1s
Epoch [42/50] | train_loss=0.0033 | train_acc=1.0000 | val_loss=0.4069 | val_acc=0.8738 | time=54.0s
Epoch [43/50] | train_loss=0.0039 | train_acc=0.9998 | val_loss=0.4175 | val_acc=0.8733 | time=52.3s
Epoch [44/50] | train_loss=0.0033 | train_acc=0.9999 | val_loss=0.4137 | val_acc=0.8720 | time=51.6s
Epoch [45/50] | train_loss=0.0038 | train_acc=0.9999 | val_loss=0.4822 | val_acc=0.8503 | time=52.8s
Epoch [46/50] | train_loss=0.0028 | train_acc=1.0000 | val_loss=0.4208 | val_acc=0.8710 | time=53.8s
Epoch [47/50] | train_loss=0.0029 | train_acc=1.0000 | val_loss=0.4237 | val_acc=0.8708 | time=53.5s
Epoch [48/50] | train_loss=0.0027 | train_acc=1.0000 | val_loss=0.4158 | val_acc=0.8712 | time=53.8s
Epoch [49/50] | train_loss=0.0025 | train_acc=1.0000 | val_loss=0.4201 | val_acc=0.8673 | time=53.5s
Epoch [50/50] | train_loss=0.0022 | train_acc=1.0000 | val_loss=0.4066 | val_acc=0.8753 | time=53.0s
