Epoch [01/50] | train_loss=1.7911 | train_acc=0.3683 | val_loss=1.6745 | val_acc=0.4348 | time=53.6s
Epoch [02/50] | train_loss=1.3929 | train_acc=0.5165 | val_loss=1.6530 | val_acc=0.4615 | time=52.7s
Epoch [03/50] | train_loss=1.1906 | train_acc=0.5900 | val_loss=1.3185 | val_acc=0.5203 | time=52.6s
Epoch [04/50] | train_loss=1.0526 | train_acc=0.6393 | val_loss=1.5106 | val_acc=0.5005 | time=52.7s
Epoch [05/50] | train_loss=0.9533 | train_acc=0.6766 | val_loss=1.1308 | val_acc=0.6210 | time=52.9s
Epoch [06/50] | train_loss=0.8577 | train_acc=0.7117 | val_loss=1.3546 | val_acc=0.5585 | time=52.7s
Epoch [07/50] | train_loss=0.7548 | train_acc=0.7456 | val_loss=1.2598 | val_acc=0.6017 | time=52.8s
Epoch [08/50] | train_loss=0.6922 | train_acc=0.7706 | val_loss=0.7949 | val_acc=0.7243 | time=52.8s
Epoch [09/50] | train_loss=0.6126 | train_acc=0.8002 | val_loss=1.1490 | val_acc=0.6235 | time=52.8s
Epoch [10/50] | train_loss=0.5549 | train_acc=0.8164 | val_loss=1.7160 | val_acc=0.5380 | time=52.7s
Epoch [11/50] | train_loss=0.4974 | train_acc=0.8398 | val_loss=0.6938 | val_acc=0.7703 | time=52.7s
Epoch [12/50] | train_loss=0.4356 | train_acc=0.8620 | val_loss=1.5471 | val_acc=0.5707 | time=52.6s
Epoch [13/50] | train_loss=0.3907 | train_acc=0.8766 | val_loss=1.2909 | val_acc=0.6158 | time=52.7s
Epoch [14/50] | train_loss=0.3472 | train_acc=0.8911 | val_loss=0.7944 | val_acc=0.7387 | time=52.8s
Epoch [15/50] | train_loss=0.2887 | train_acc=0.9100 | val_loss=0.7013 | val_acc=0.7623 | time=52.8s
Epoch [16/50] | train_loss=0.2551 | train_acc=0.9227 | val_loss=1.1795 | val_acc=0.6880 | time=52.8s
Epoch [17/50] | train_loss=0.2106 | train_acc=0.9383 | val_loss=1.6026 | val_acc=0.6238 | time=52.8s
Epoch [18/50] | train_loss=0.1727 | train_acc=0.9524 | val_loss=0.8529 | val_acc=0.7458 | time=52.4s
Epoch [19/50] | train_loss=0.1421 | train_acc=0.9618 | val_loss=0.9309 | val_acc=0.7313 | time=52.6s
Epoch [20/50] | train_loss=0.1176 | train_acc=0.9700 | val_loss=2.6491 | val_acc=0.5038 | time=52.3s
Epoch [21/50] | train_loss=0.0944 | train_acc=0.9773 | val_loss=0.9003 | val_acc=0.7350 | time=52.3s
Epoch [22/50] | train_loss=0.0765 | train_acc=0.9838 | val_loss=0.5699 | val_acc=0.8318 | time=52.2s
Epoch [23/50] | train_loss=0.0680 | train_acc=0.9847 | val_loss=0.7928 | val_acc=0.7730 | time=52.2s
Epoch [24/50] | train_loss=0.0413 | train_acc=0.9931 | val_loss=0.4493 | val_acc=0.8600 | time=52.2s
Epoch [25/50] | train_loss=0.0312 | train_acc=0.9952 | val_loss=1.7050 | val_acc=0.6533 | time=52.2s
Epoch [26/50] | train_loss=0.0199 | train_acc=0.9982 | val_loss=0.7760 | val_acc=0.7902 | time=52.4s
Epoch [27/50] | train_loss=0.0151 | train_acc=0.9989 | val_loss=0.5096 | val_acc=0.8470 | time=52.3s
Epoch [28/50] | train_loss=0.0123 | train_acc=0.9995 | val_loss=0.4276 | val_acc=0.8690 | time=52.3s
Epoch [29/50] | train_loss=0.0095 | train_acc=0.9997 | val_loss=0.4447 | val_acc=0.8625 | time=52.3s
Epoch [30/50] | train_loss=0.0080 | train_acc=0.9999 | val_loss=0.4374 | val_acc=0.8682 | time=52.3s
Epoch [31/50] | train_loss=0.0072 | train_acc=0.9998 | val_loss=0.4453 | val_acc=0.8645 | time=52.3s
Epoch [32/50] | train_loss=0.0067 | train_acc=0.9999 | val_loss=0.4214 | val_acc=0.8677 | time=52.3s
Epoch [33/50] | train_loss=0.0066 | train_acc=0.9997 | val_loss=0.5605 | val_acc=0.8422 | time=52.3s
Epoch [34/50] | train_loss=0.0065 | train_acc=0.9998 | val_loss=0.6096 | val_acc=0.8257 | time=52.3s
Epoch [35/50] | train_loss=0.0104 | train_acc=0.9987 | val_loss=0.5222 | val_acc=0.8518 | time=52.2s
Epoch [36/50] | train_loss=0.0091 | train_acc=0.9995 | val_loss=0.4817 | val_acc=0.8590 | time=52.3s
Epoch [37/50] | train_loss=0.0050 | train_acc=0.9999 | val_loss=0.4537 | val_acc=0.8618 | time=52.4s
Epoch [38/50] | train_loss=0.0048 | train_acc=0.9998 | val_loss=0.4450 | val_acc=0.8640 | time=52.3s
Epoch [39/50] | train_loss=0.0059 | train_acc=0.9996 | val_loss=0.7464 | val_acc=0.7923 | time=52.3s
Epoch [40/50] | train_loss=0.0038 | train_acc=1.0000 | val_loss=0.4860 | val_acc=0.8582 | time=52.3s
Epoch [41/50] | train_loss=0.0035 | train_acc=1.0000 | val_loss=0.4395 | val_acc=0.8670 | time=52.2s
Epoch [42/50] | train_loss=0.0042 | train_acc=0.9999 | val_loss=0.4329 | val_acc=0.8692 | time=52.3s
Epoch [43/50] | train_loss=0.0037 | train_acc=1.0000 | val_loss=0.4394 | val_acc=0.8655 | time=52.3s
Epoch [44/50] | train_loss=0.0030 | train_acc=1.0000 | val_loss=0.4369 | val_acc=0.8682 | time=52.2s
Epoch [45/50] | train_loss=0.0028 | train_acc=1.0000 | val_loss=0.4420 | val_acc=0.8670 | time=52.3s
Epoch [46/50] | train_loss=0.0039 | train_acc=0.9997 | val_loss=0.5101 | val_acc=0.8517 | time=52.2s
Epoch [47/50] | train_loss=0.0031 | train_acc=1.0000 | val_loss=0.4322 | val_acc=0.8653 | time=52.4s
