Epoch [01/50] | train_loss=1.7651 | train_acc=0.3752 | val_loss=1.6529 | val_acc=0.4195 | time=52.3s
Epoch [02/50] | train_loss=1.3506 | train_acc=0.5311 | val_loss=1.4168 | val_acc=0.5053 | time=52.2s
Epoch [03/50] | train_loss=1.1457 | train_acc=0.6069 | val_loss=1.1944 | val_acc=0.5925 | time=52.3s
Epoch [04/50] | train_loss=1.0033 | train_acc=0.6583 | val_loss=2.4421 | val_acc=0.3833 | time=52.3s
Epoch [05/50] | train_loss=0.8877 | train_acc=0.6996 | val_loss=1.1224 | val_acc=0.6075 | time=52.2s
Epoch [06/50] | train_loss=0.7970 | train_acc=0.7325 | val_loss=1.5189 | val_acc=0.5278 | time=52.2s
Epoch [07/50] | train_loss=0.6969 | train_acc=0.7685 | val_loss=0.9443 | val_acc=0.6597 | time=52.3s
Epoch [08/50] | train_loss=0.6281 | train_acc=0.7934 | val_loss=0.9016 | val_acc=0.7038 | time=52.3s
Epoch [09/50] | train_loss=0.5542 | train_acc=0.8197 | val_loss=1.0482 | val_acc=0.6623 | time=52.2s
Epoch [10/50] | train_loss=0.4960 | train_acc=0.8385 | val_loss=0.7372 | val_acc=0.7577 | time=52.3s
Epoch [11/50] | train_loss=0.4387 | train_acc=0.8595 | val_loss=0.9198 | val_acc=0.7097 | time=52.2s
Epoch [12/50] | train_loss=0.3874 | train_acc=0.8764 | val_loss=1.2794 | val_acc=0.6433 | time=52.2s
Epoch [13/50] | train_loss=0.3357 | train_acc=0.8954 | val_loss=1.4115 | val_acc=0.5807 | time=52.2s
Epoch [14/50] | train_loss=0.2921 | train_acc=0.9089 | val_loss=0.6812 | val_acc=0.7762 | time=52.2s
Epoch [15/50] | train_loss=0.2444 | train_acc=0.9267 | val_loss=0.6910 | val_acc=0.7813 | time=52.2s
Epoch [16/50] | train_loss=0.2057 | train_acc=0.9409 | val_loss=0.8455 | val_acc=0.7495 | time=52.3s
Epoch [17/50] | train_loss=0.1733 | train_acc=0.9498 | val_loss=0.8792 | val_acc=0.7348 | time=52.2s
Epoch [18/50] | train_loss=0.1373 | train_acc=0.9617 | val_loss=0.9516 | val_acc=0.7337 | time=52.2s
Epoch [19/50] | train_loss=0.1138 | train_acc=0.9706 | val_loss=0.9735 | val_acc=0.7147 | time=52.3s
Epoch [20/50] | train_loss=0.0852 | train_acc=0.9795 | val_loss=0.7240 | val_acc=0.7835 | time=52.7s
Epoch [21/50] | train_loss=0.0685 | train_acc=0.9848 | val_loss=1.0261 | val_acc=0.7360 | time=52.4s
Epoch [22/50] | train_loss=0.0564 | train_acc=0.9880 | val_loss=0.9479 | val_acc=0.7600 | time=52.3s
Epoch [23/50] | train_loss=0.0558 | train_acc=0.9877 | val_loss=0.9760 | val_acc=0.7505 | time=52.2s
Epoch [24/50] | train_loss=0.0355 | train_acc=0.9939 | val_loss=0.7863 | val_acc=0.7952 | time=52.3s
Epoch [25/50] | train_loss=0.0301 | train_acc=0.9947 | val_loss=0.6116 | val_acc=0.8218 | time=52.3s
Epoch [26/50] | train_loss=0.0224 | train_acc=0.9969 | val_loss=0.8691 | val_acc=0.7837 | time=52.2s
Epoch [27/50] | train_loss=0.0152 | train_acc=0.9987 | val_loss=0.4285 | val_acc=0.8750 | time=52.2s
Epoch [28/50] | train_loss=0.0098 | train_acc=0.9995 | val_loss=0.5400 | val_acc=0.8422 | time=52.2s
Epoch [29/50] | train_loss=0.0113 | train_acc=0.9988 | val_loss=0.4885 | val_acc=0.8608 | time=52.3s
Epoch [30/50] | train_loss=0.0119 | train_acc=0.9982 | val_loss=0.5170 | val_acc=0.8503 | time=52.2s
Epoch [31/50] | train_loss=0.0117 | train_acc=0.9989 | val_loss=0.5454 | val_acc=0.8485 | time=52.3s
Epoch [32/50] | train_loss=0.0101 | train_acc=0.9991 | val_loss=0.7357 | val_acc=0.8142 | time=52.3s
Epoch [33/50] | train_loss=0.0092 | train_acc=0.9994 | val_loss=0.9910 | val_acc=0.7673 | time=52.3s
Epoch [34/50] | train_loss=0.0059 | train_acc=0.9998 | val_loss=0.4134 | val_acc=0.8812 | time=52.3s
Epoch [35/50] | train_loss=0.0038 | train_acc=1.0000 | val_loss=0.4401 | val_acc=0.8738 | time=52.3s
Epoch [36/50] | train_loss=0.0037 | train_acc=1.0000 | val_loss=0.3808 | val_acc=0.8855 | time=52.2s
Epoch [37/50] | train_loss=0.0034 | train_acc=1.0000 | val_loss=0.4212 | val_acc=0.8783 | time=52.3s
Epoch [38/50] | train_loss=0.0034 | train_acc=1.0000 | val_loss=0.3844 | val_acc=0.8813 | time=52.3s
Epoch [39/50] | train_loss=0.0031 | train_acc=1.0000 | val_loss=0.4181 | val_acc=0.8763 | time=52.5s
Epoch [40/50] | train_loss=0.0027 | train_acc=1.0000 | val_loss=0.3918 | val_acc=0.8833 | time=52.2s
Epoch [41/50] | train_loss=0.0025 | train_acc=1.0000 | val_loss=0.4021 | val_acc=0.8815 | time=52.4s
Epoch [42/50] | train_loss=0.0029 | train_acc=0.9998 | val_loss=0.4119 | val_acc=0.8778 | time=52.2s
Epoch [43/50] | train_loss=0.0022 | train_acc=1.0000 | val_loss=0.3823 | val_acc=0.8845 | time=52.3s
Epoch [44/50] | train_loss=0.0030 | train_acc=0.9998 | val_loss=0.4711 | val_acc=0.8660 | time=52.2s
Epoch [45/50] | train_loss=0.0040 | train_acc=0.9996 | val_loss=0.4273 | val_acc=0.8707 | time=52.2s
Epoch [46/50] | train_loss=0.0029 | train_acc=1.0000 | val_loss=0.5923 | val_acc=0.8428 | time=52.3s
Epoch [47/50] | train_loss=0.0020 | train_acc=1.0000 | val_loss=0.3816 | val_acc=0.8860 | time=52.2s
Epoch [48/50] | train_loss=0.0020 | train_acc=1.0000 | val_loss=0.3841 | val_acc=0.8852 | time=52.2s
Epoch [49/50] | train_loss=0.0019 | train_acc=1.0000 | val_loss=0.3870 | val_acc=0.8862 | time=52.2s
Epoch [50/50] | train_loss=0.0018 | train_acc=1.0000 | val_loss=0.3959 | val_acc=0.8843 | time=52.3s
