Epoch [01/50] | train_loss=1.7192 | train_acc=0.3933 | val_loss=1.7563 | val_acc=0.3933 | time=52.6s
Epoch [02/50] | train_loss=1.3026 | train_acc=0.5518 | val_loss=1.4526 | val_acc=0.5082 | time=52.5s
Epoch [03/50] | train_loss=1.0992 | train_acc=0.6240 | val_loss=1.1641 | val_acc=0.5842 | time=52.6s
Epoch [04/50] | train_loss=0.9588 | train_acc=0.6737 | val_loss=1.1758 | val_acc=0.6150 | time=52.6s
Epoch [05/50] | train_loss=0.8382 | train_acc=0.7150 | val_loss=1.6059 | val_acc=0.4793 | time=52.6s
Epoch [06/50] | train_loss=0.7442 | train_acc=0.7500 | val_loss=0.8777 | val_acc=0.7023 | time=52.6s
Epoch [07/50] | train_loss=0.6516 | train_acc=0.7827 | val_loss=0.9449 | val_acc=0.6807 | time=52.5s
Epoch [08/50] | train_loss=0.5839 | train_acc=0.8060 | val_loss=0.9378 | val_acc=0.6743 | time=52.6s
Epoch [09/50] | train_loss=0.5094 | train_acc=0.8343 | val_loss=1.1738 | val_acc=0.6577 | time=52.5s
Epoch [10/50] | train_loss=0.4496 | train_acc=0.8523 | val_loss=0.8998 | val_acc=0.7077 | time=52.6s
Epoch [11/50] | train_loss=0.3899 | train_acc=0.8724 | val_loss=0.7242 | val_acc=0.7575 | time=52.5s
Epoch [12/50] | train_loss=0.3511 | train_acc=0.8857 | val_loss=1.5175 | val_acc=0.6257 | time=52.6s
Epoch [13/50] | train_loss=0.2952 | train_acc=0.9085 | val_loss=1.6396 | val_acc=0.6137 | time=52.6s
Epoch [14/50] | train_loss=0.2513 | train_acc=0.9210 | val_loss=0.9202 | val_acc=0.7240 | time=52.5s
Epoch [15/50] | train_loss=0.2078 | train_acc=0.9365 | val_loss=1.6080 | val_acc=0.6050 | time=52.6s
Epoch [16/50] | train_loss=0.1804 | train_acc=0.9456 | val_loss=0.9392 | val_acc=0.7433 | time=53.5s
Epoch [17/50] | train_loss=0.1498 | train_acc=0.9551 | val_loss=1.2261 | val_acc=0.6588 | time=54.4s
Epoch [18/50] | train_loss=0.1339 | train_acc=0.9615 | val_loss=1.2504 | val_acc=0.6803 | time=54.1s
Epoch [19/50] | train_loss=0.0918 | train_acc=0.9760 | val_loss=1.2697 | val_acc=0.7072 | time=54.1s
Epoch [20/50] | train_loss=0.0650 | train_acc=0.9845 | val_loss=1.0631 | val_acc=0.7412 | time=54.0s
Epoch [21/50] | train_loss=0.0468 | train_acc=0.9905 | val_loss=0.6497 | val_acc=0.8077 | time=54.2s
Epoch [22/50] | train_loss=0.0388 | train_acc=0.9923 | val_loss=0.8224 | val_acc=0.7987 | time=54.0s
Epoch [23/50] | train_loss=0.0396 | train_acc=0.9911 | val_loss=0.7025 | val_acc=0.8010 | time=55.2s
Epoch [24/50] | train_loss=0.0270 | train_acc=0.9955 | val_loss=0.7486 | val_acc=0.8025 | time=56.2s
Epoch [25/50] | train_loss=0.0137 | train_acc=0.9990 | val_loss=1.7668 | val_acc=0.6922 | time=56.7s
Epoch [26/50] | train_loss=0.0166 | train_acc=0.9979 | val_loss=0.4820 | val_acc=0.8535 | time=56.2s
Epoch [27/50] | train_loss=0.0121 | train_acc=0.9985 | val_loss=1.1792 | val_acc=0.7367 | time=56.2s
Epoch [28/50] | train_loss=0.0117 | train_acc=0.9985 | val_loss=0.4718 | val_acc=0.8632 | time=56.3s
Epoch [29/50] | train_loss=0.0072 | train_acc=0.9996 | val_loss=0.5234 | val_acc=0.8515 | time=56.8s
Epoch [30/50] | train_loss=0.0067 | train_acc=0.9996 | val_loss=0.5034 | val_acc=0.8593 | time=56.3s
Epoch [31/50] | train_loss=0.0057 | train_acc=0.9997 | val_loss=0.4081 | val_acc=0.8785 | time=55.6s
Epoch [32/50] | train_loss=0.0031 | train_acc=1.0000 | val_loss=0.4123 | val_acc=0.8748 | time=56.4s
Epoch [33/50] | train_loss=0.0039 | train_acc=0.9997 | val_loss=0.5053 | val_acc=0.8617 | time=56.9s
Epoch [34/50] | train_loss=0.0038 | train_acc=0.9999 | val_loss=0.4115 | val_acc=0.8805 | time=56.2s
Epoch [35/50] | train_loss=0.0026 | train_acc=1.0000 | val_loss=0.4078 | val_acc=0.8830 | time=56.6s
Epoch [36/50] | train_loss=0.0028 | train_acc=0.9998 | val_loss=0.4541 | val_acc=0.8720 | time=56.0s
Epoch [37/50] | train_loss=0.0027 | train_acc=1.0000 | val_loss=0.4168 | val_acc=0.8807 | time=56.1s
Epoch [38/50] | train_loss=0.0026 | train_acc=1.0000 | val_loss=0.4052 | val_acc=0.8805 | time=56.4s
Epoch [39/50] | train_loss=0.0022 | train_acc=1.0000 | val_loss=0.4148 | val_acc=0.8808 | time=56.1s
Epoch [40/50] | train_loss=0.0021 | train_acc=1.0000 | val_loss=0.4208 | val_acc=0.8815 | time=56.0s
Epoch [41/50] | train_loss=0.0021 | train_acc=1.0000 | val_loss=0.4068 | val_acc=0.8780 | time=55.8s
Epoch [42/50] | train_loss=0.0018 | train_acc=1.0000 | val_loss=0.4036 | val_acc=0.8817 | time=56.1s
Epoch [43/50] | train_loss=0.0017 | train_acc=1.0000 | val_loss=0.4061 | val_acc=0.8795 | time=55.9s
Epoch [44/50] | train_loss=0.0016 | train_acc=1.0000 | val_loss=0.4200 | val_acc=0.8802 | time=55.9s
Epoch [45/50] | train_loss=0.0018 | train_acc=1.0000 | val_loss=0.4151 | val_acc=0.8812 | time=56.0s
Epoch [46/50] | train_loss=0.0019 | train_acc=1.0000 | val_loss=0.4121 | val_acc=0.8818 | time=56.1s
Epoch [47/50] | train_loss=0.0015 | train_acc=1.0000 | val_loss=0.4181 | val_acc=0.8792 | time=55.9s
Epoch [48/50] | train_loss=0.0015 | train_acc=1.0000 | val_loss=0.4088 | val_acc=0.8833 | time=56.0s
Epoch [49/50] | train_loss=0.0014 | train_acc=1.0000 | val_loss=0.4141 | val_acc=0.8822 | time=55.9s
Epoch [50/50] | train_loss=0.0014 | train_acc=1.0000 | val_loss=0.4402 | val_acc=0.8740 | time=55.9s
