Epoch [01/50] | train_loss=1.6765 | train_acc=0.4148 | val_loss=1.5949 | val_acc=0.4570 | time=56.3s
Epoch [02/50] | train_loss=1.2333 | train_acc=0.5711 | val_loss=1.5420 | val_acc=0.5012 | time=56.1s
Epoch [03/50] | train_loss=1.0409 | train_acc=0.6447 | val_loss=1.1561 | val_acc=0.5985 | time=55.4s
Epoch [04/50] | train_loss=0.8841 | train_acc=0.6993 | val_loss=1.0714 | val_acc=0.6302 | time=56.0s
Epoch [05/50] | train_loss=0.7715 | train_acc=0.7418 | val_loss=0.9652 | val_acc=0.6783 | time=56.1s
Epoch [06/50] | train_loss=0.6574 | train_acc=0.7797 | val_loss=0.8711 | val_acc=0.7068 | time=56.3s
Epoch [07/50] | train_loss=0.5807 | train_acc=0.8075 | val_loss=0.7793 | val_acc=0.7352 | time=56.1s
Epoch [08/50] | train_loss=0.5086 | train_acc=0.8313 | val_loss=1.0415 | val_acc=0.6763 | time=56.0s
Epoch [09/50] | train_loss=0.4413 | train_acc=0.8553 | val_loss=1.1101 | val_acc=0.6678 | time=56.0s
Epoch [10/50] | train_loss=0.3844 | train_acc=0.8745 | val_loss=1.2261 | val_acc=0.6325 | time=56.1s
Epoch [11/50] | train_loss=0.3303 | train_acc=0.8930 | val_loss=1.0197 | val_acc=0.7127 | time=56.1s
Epoch [12/50] | train_loss=0.2743 | train_acc=0.9116 | val_loss=0.9514 | val_acc=0.7090 | time=55.9s
Epoch [13/50] | train_loss=0.2428 | train_acc=0.9220 | val_loss=1.5308 | val_acc=0.6090 | time=56.2s
Epoch [14/50] | train_loss=0.1994 | train_acc=0.9374 | val_loss=0.8652 | val_acc=0.7313 | time=56.0s
Epoch [15/50] | train_loss=0.1594 | train_acc=0.9521 | val_loss=0.7333 | val_acc=0.7862 | time=56.0s
Epoch [16/50] | train_loss=0.1211 | train_acc=0.9649 | val_loss=1.0324 | val_acc=0.7373 | time=56.4s
Epoch [17/50] | train_loss=0.1070 | train_acc=0.9692 | val_loss=0.9726 | val_acc=0.7368 | time=56.5s
Epoch [18/50] | train_loss=0.0870 | train_acc=0.9762 | val_loss=1.0683 | val_acc=0.7427 | time=56.5s
Epoch [19/50] | train_loss=0.0782 | train_acc=0.9779 | val_loss=1.1831 | val_acc=0.7527 | time=56.0s
Epoch [20/50] | train_loss=0.0628 | train_acc=0.9832 | val_loss=0.7940 | val_acc=0.7755 | time=55.9s
Epoch [21/50] | train_loss=0.0372 | train_acc=0.9918 | val_loss=0.6126 | val_acc=0.8350 | time=55.8s
Epoch [22/50] | train_loss=0.0335 | train_acc=0.9925 | val_loss=0.6777 | val_acc=0.8240 | time=55.8s
Epoch [23/50] | train_loss=0.0357 | train_acc=0.9915 | val_loss=0.7166 | val_acc=0.8197 | time=55.8s
Epoch [24/50] | train_loss=0.0373 | train_acc=0.9905 | val_loss=1.3677 | val_acc=0.6968 | time=55.8s
Epoch [25/50] | train_loss=0.0294 | train_acc=0.9934 | val_loss=1.0766 | val_acc=0.7673 | time=55.8s
Epoch [26/50] | train_loss=0.0236 | train_acc=0.9950 | val_loss=1.8266 | val_acc=0.6868 | time=55.8s
Epoch [27/50] | train_loss=0.0231 | train_acc=0.9949 | val_loss=0.7166 | val_acc=0.8225 | time=55.8s
Epoch [28/50] | train_loss=0.0139 | train_acc=0.9976 | val_loss=0.8714 | val_acc=0.8048 | time=55.8s
Epoch [29/50] | train_loss=0.0106 | train_acc=0.9985 | val_loss=0.4193 | val_acc=0.8808 | time=55.8s
Epoch [30/50] | train_loss=0.0047 | train_acc=0.9995 | val_loss=0.4273 | val_acc=0.8818 | time=55.8s
Epoch [31/50] | train_loss=0.0039 | train_acc=0.9997 | val_loss=0.4991 | val_acc=0.8668 | time=55.8s
Epoch [32/50] | train_loss=0.0037 | train_acc=0.9998 | val_loss=0.4052 | val_acc=0.8898 | time=55.8s
Epoch [33/50] | train_loss=0.0028 | train_acc=1.0000 | val_loss=0.3865 | val_acc=0.8935 | time=55.8s
Epoch [34/50] | train_loss=0.0020 | train_acc=1.0000 | val_loss=0.3978 | val_acc=0.8892 | time=55.8s
Epoch [35/50] | train_loss=0.0021 | train_acc=1.0000 | val_loss=0.3862 | val_acc=0.8917 | time=55.8s
Epoch [36/50] | train_loss=0.0019 | train_acc=1.0000 | val_loss=0.3835 | val_acc=0.8925 | time=55.8s
Epoch [37/50] | train_loss=0.0016 | train_acc=1.0000 | val_loss=0.3877 | val_acc=0.8922 | time=55.8s
Epoch [38/50] | train_loss=0.0015 | train_acc=1.0000 | val_loss=0.3810 | val_acc=0.8957 | time=55.8s
Epoch [39/50] | train_loss=0.0014 | train_acc=1.0000 | val_loss=0.3905 | val_acc=0.8932 | time=55.8s
Epoch [40/50] | train_loss=0.0017 | train_acc=0.9999 | val_loss=0.3879 | val_acc=0.8935 | time=55.8s
Epoch [41/50] | train_loss=0.0017 | train_acc=0.9999 | val_loss=0.3866 | val_acc=0.8932 | time=55.8s
