Epoch [01/50] | train_loss=1.6503 | train_acc=0.4138 | val_loss=1.5449 | val_acc=0.4702 | time=54.8s
Epoch [02/50] | train_loss=1.2213 | train_acc=0.5738 | val_loss=1.1984 | val_acc=0.5722 | time=54.9s
Epoch [03/50] | train_loss=1.0212 | train_acc=0.6453 | val_loss=1.4151 | val_acc=0.5428 | time=55.2s
Epoch [04/50] | train_loss=0.8667 | train_acc=0.7070 | val_loss=1.4730 | val_acc=0.5850 | time=54.9s
Epoch [05/50] | train_loss=0.7288 | train_acc=0.7541 | val_loss=1.3900 | val_acc=0.5788 | time=54.8s
Epoch [06/50] | train_loss=0.6271 | train_acc=0.7877 | val_loss=1.3043 | val_acc=0.6112 | time=54.5s
Epoch [07/50] | train_loss=0.5384 | train_acc=0.8212 | val_loss=0.8314 | val_acc=0.7227 | time=54.4s
Epoch [08/50] | train_loss=0.4624 | train_acc=0.8460 | val_loss=0.7675 | val_acc=0.7415 | time=54.4s
Epoch [09/50] | train_loss=0.4077 | train_acc=0.8653 | val_loss=0.7897 | val_acc=0.7378 | time=54.4s
Epoch [10/50] | train_loss=0.3468 | train_acc=0.8850 | val_loss=0.7071 | val_acc=0.7703 | time=54.5s
Epoch [11/50] | train_loss=0.3021 | train_acc=0.9012 | val_loss=0.9435 | val_acc=0.7217 | time=54.5s
Epoch [12/50] | train_loss=0.2516 | train_acc=0.9171 | val_loss=0.7426 | val_acc=0.7707 | time=54.5s
Epoch [13/50] | train_loss=0.2122 | train_acc=0.9312 | val_loss=0.8671 | val_acc=0.7372 | time=54.6s
Epoch [14/50] | train_loss=0.1838 | train_acc=0.9406 | val_loss=0.6543 | val_acc=0.8107 | time=54.5s
Epoch [15/50] | train_loss=0.1492 | train_acc=0.9517 | val_loss=0.9156 | val_acc=0.7630 | time=54.6s
Epoch [16/50] | train_loss=0.1190 | train_acc=0.9636 | val_loss=1.1671 | val_acc=0.7320 | time=54.6s
Epoch [17/50] | train_loss=0.1041 | train_acc=0.9665 | val_loss=0.8642 | val_acc=0.7762 | time=54.4s
Epoch [18/50] | train_loss=0.0754 | train_acc=0.9781 | val_loss=1.4186 | val_acc=0.6960 | time=54.5s
Epoch [19/50] | train_loss=0.0646 | train_acc=0.9811 | val_loss=0.6275 | val_acc=0.8348 | time=54.5s
Epoch [20/50] | train_loss=0.0575 | train_acc=0.9834 | val_loss=0.6548 | val_acc=0.8320 | time=54.5s
Epoch [21/50] | train_loss=0.0611 | train_acc=0.9818 | val_loss=0.9494 | val_acc=0.7813 | time=54.5s
Epoch [22/50] | train_loss=0.0507 | train_acc=0.9865 | val_loss=0.6727 | val_acc=0.8245 | time=54.7s
Epoch [23/50] | train_loss=0.0460 | train_acc=0.9870 | val_loss=0.5176 | val_acc=0.8490 | time=54.6s
Epoch [24/50] | train_loss=0.0240 | train_acc=0.9942 | val_loss=0.9132 | val_acc=0.7928 | time=54.5s
Epoch [25/50] | train_loss=0.0165 | train_acc=0.9966 | val_loss=0.4734 | val_acc=0.8755 | time=54.6s
Epoch [26/50] | train_loss=0.0155 | train_acc=0.9969 | val_loss=0.5613 | val_acc=0.8543 | time=54.5s
Epoch [27/50] | train_loss=0.0093 | train_acc=0.9983 | val_loss=0.4376 | val_acc=0.8863 | time=54.5s
Epoch [28/50] | train_loss=0.0099 | train_acc=0.9980 | val_loss=0.5421 | val_acc=0.8690 | time=54.5s
Epoch [29/50] | train_loss=0.0059 | train_acc=0.9991 | val_loss=0.4203 | val_acc=0.8907 | time=54.5s
Epoch [30/50] | train_loss=0.0058 | train_acc=0.9991 | val_loss=0.3854 | val_acc=0.8988 | time=54.5s
Epoch [31/50] | train_loss=0.0030 | train_acc=0.9998 | val_loss=0.4023 | val_acc=0.8995 | time=54.5s
Epoch [32/50] | train_loss=0.0019 | train_acc=0.9999 | val_loss=0.3786 | val_acc=0.9035 | time=54.5s
Epoch [33/50] | train_loss=0.0019 | train_acc=0.9999 | val_loss=0.3772 | val_acc=0.9017 | time=54.4s
Epoch [34/50] | train_loss=0.0016 | train_acc=0.9999 | val_loss=0.3754 | val_acc=0.9027 | time=54.5s
Epoch [35/50] | train_loss=0.0013 | train_acc=1.0000 | val_loss=0.3795 | val_acc=0.9038 | time=54.5s
Epoch [36/50] | train_loss=0.0011 | train_acc=1.0000 | val_loss=0.3719 | val_acc=0.9043 | time=54.5s
Epoch [37/50] | train_loss=0.0017 | train_acc=0.9999 | val_loss=0.3780 | val_acc=0.9048 | time=53.9s
Epoch [38/50] | train_loss=0.0010 | train_acc=1.0000 | val_loss=0.3736 | val_acc=0.9027 | time=53.8s
Epoch [39/50] | train_loss=0.0012 | train_acc=1.0000 | val_loss=0.3690 | val_acc=0.9038 | time=53.8s
Epoch [40/50] | train_loss=0.0010 | train_acc=1.0000 | val_loss=0.3718 | val_acc=0.9035 | time=53.8s
Epoch [41/50] | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.3701 | val_acc=0.9048 | time=53.7s
Epoch [42/50] | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.3764 | val_acc=0.9058 | time=53.7s
Epoch [43/50] | train_loss=0.0008 | train_acc=1.0000 | val_loss=0.3641 | val_acc=0.9068 | time=53.7s
Epoch [44/50] | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.3665 | val_acc=0.9060 | time=53.8s
Epoch [45/50] | train_loss=0.0008 | train_acc=1.0000 | val_loss=0.3681 | val_acc=0.9067 | time=53.8s
Epoch [46/50] | train_loss=0.0009 | train_acc=1.0000 | val_loss=0.3658 | val_acc=0.9090 | time=53.8s
Epoch [47/50] | train_loss=0.0007 | train_acc=1.0000 | val_loss=0.3641 | val_acc=0.9057 | time=53.8s
Epoch [48/50] | train_loss=0.0007 | train_acc=1.0000 | val_loss=0.3671 | val_acc=0.9075 | time=53.8s
Epoch [49/50] | train_loss=0.0007 | train_acc=1.0000 | val_loss=0.3648 | val_acc=0.9077 | time=53.8s
Epoch [50/50] | train_loss=0.0006 | train_acc=1.0000 | val_loss=0.3712 | val_acc=0.9085 | time=53.8s
