Epoch [01/50] | train_loss=1.9867 | train_acc=0.2700 | val_loss=1.9896 | val_acc=0.3320 | time=55.2s
Epoch [02/50] | train_loss=1.8689 | train_acc=0.3124 | val_loss=1.7892 | val_acc=0.3447 | time=55.1s
Epoch [03/50] | train_loss=1.8558 | train_acc=0.3199 | val_loss=1.7524 | val_acc=0.3668 | time=55.1s
Epoch [04/50] | train_loss=1.9136 | train_acc=0.3082 | val_loss=1.8439 | val_acc=0.3530 | time=55.1s
Epoch [05/50] | train_loss=1.9226 | train_acc=0.2939 | val_loss=1.7856 | val_acc=0.3325 | time=55.1s
[34m[1mwandb[0m: [33mWARNING[0m Fatal error while uploading data. Some run data will not be synced, but it will still be written to disk. Use `wandb sync` at the end of the run to try uploading.
Epoch [06/50] | train_loss=1.8851 | train_acc=0.3037 | val_loss=1.6993 | val_acc=0.3698 | time=55.3s
Epoch [07/50] | train_loss=1.8976 | train_acc=0.3080 | val_loss=1.7714 | val_acc=0.3282 | time=55.3s
Epoch [08/50] | train_loss=1.9076 | train_acc=0.2982 | val_loss=1.8380 | val_acc=0.3355 | time=55.2s
Epoch [09/50] | train_loss=1.9128 | train_acc=0.3097 | val_loss=1.8278 | val_acc=0.3260 | time=55.3s
Epoch [10/50] | train_loss=1.8816 | train_acc=0.3191 | val_loss=1.8564 | val_acc=0.3220 | time=55.3s
Epoch [11/50] | train_loss=2.0973 | train_acc=0.2709 | val_loss=3.4014 | val_acc=0.1980 | time=55.3s
Epoch [12/50] | train_loss=2.2323 | train_acc=0.1837 | val_loss=2.1830 | val_acc=0.2168 | time=55.3s
Epoch [13/50] | train_loss=2.2525 | train_acc=0.1797 | val_loss=2.2103 | val_acc=0.1727 | time=55.2s
Epoch [14/50] | train_loss=2.2429 | train_acc=0.1648 | val_loss=2.1589 | val_acc=0.1692 | time=55.3s
Epoch [15/50] | train_loss=2.2044 | train_acc=0.1664 | val_loss=2.1264 | val_acc=0.1760 | time=55.3s
Epoch [16/50] | train_loss=2.2129 | train_acc=0.1656 | val_loss=2.2038 | val_acc=0.1752 | time=55.2s
Epoch [17/50] | train_loss=2.4543 | train_acc=0.1657 | val_loss=2.2203 | val_acc=0.1485 | time=55.2s
Epoch [18/50] | train_loss=2.6217 | train_acc=0.1543 | val_loss=2.2367 | val_acc=0.1370 | time=55.3s
Epoch [19/50] | train_loss=2.4685 | train_acc=0.1573 | val_loss=2.2238 | val_acc=0.1462 | time=55.6s
Epoch [20/50] | train_loss=2.6503 | train_acc=0.1527 | val_loss=2.5306 | val_acc=0.1710 | time=55.5s
Epoch [21/50] | train_loss=3.1130 | train_acc=0.1557 | val_loss=2.9266 | val_acc=0.1802 | time=55.2s
Epoch [22/50] | train_loss=2.5846 | train_acc=0.1600 | val_loss=2.3719 | val_acc=0.1662 | time=55.2s
Epoch [23/50] | train_loss=2.8031 | train_acc=0.1525 | val_loss=2.5027 | val_acc=0.1647 | time=55.3s
Epoch [24/50] | train_loss=2.6321 | train_acc=0.1551 | val_loss=3.0257 | val_acc=0.1587 | time=55.2s
Epoch [25/50] | train_loss=2.5918 | train_acc=0.1535 | val_loss=2.4585 | val_acc=0.1652 | time=55.2s
Epoch [26/50] | train_loss=3.0835 | train_acc=0.1596 | val_loss=3.2101 | val_acc=0.1647 | time=55.2s
Epoch [27/50] | train_loss=2.7627 | train_acc=0.1562 | val_loss=2.3022 | val_acc=0.1238 | time=55.3s
Epoch [28/50] | train_loss=2.9224 | train_acc=0.1599 | val_loss=2.7812 | val_acc=0.1708 | time=55.3s
Epoch [29/50] | train_loss=3.2913 | train_acc=0.1575 | val_loss=2.6327 | val_acc=0.1657 | time=55.3s
Epoch [30/50] | train_loss=3.8313 | train_acc=0.1461 | val_loss=420.9663 | val_acc=0.1468 | time=55.2s
Epoch [31/50] | train_loss=3.6567 | train_acc=0.1474 | val_loss=2.7697 | val_acc=0.1635 | time=55.2s
Epoch [32/50] | train_loss=3.1051 | train_acc=0.1516 | val_loss=2.5716 | val_acc=0.1563 | time=55.2s
Epoch [33/50] | train_loss=2.9373 | train_acc=0.1502 | val_loss=2.4048 | val_acc=0.1543 | time=55.2s
Epoch [34/50] | train_loss=2.9692 | train_acc=0.1475 | val_loss=2.6536 | val_acc=0.1533 | time=55.3s
Epoch [35/50] | train_loss=11.6479 | train_acc=0.1530 | val_loss=7.9694 | val_acc=0.1638 | time=55.3s
Epoch [36/50] | train_loss=7.3608 | train_acc=0.1411 | val_loss=3.0608 | val_acc=0.1598 | time=55.2s
Epoch [37/50] | train_loss=3.4720 | train_acc=0.1508 | val_loss=2.6716 | val_acc=0.1532 | time=55.2s
Epoch [38/50] | train_loss=4.1375 | train_acc=0.1528 | val_loss=3.5697 | val_acc=0.1573 | time=55.2s
Epoch [39/50] | train_loss=6.0609 | train_acc=0.1510 | val_loss=4.0180 | val_acc=0.1640 | time=55.5s
Epoch [40/50] | train_loss=7.1154 | train_acc=0.1572 | val_loss=2.4568 | val_acc=0.1520 | time=55.3s
Epoch [41/50] | train_loss=5.6679 | train_acc=0.1555 | val_loss=2.4767 | val_acc=0.1488 | time=55.3s
Epoch [42/50] | train_loss=7.4515 | train_acc=0.1579 | val_loss=3.2972 | val_acc=0.1427 | time=55.3s
Epoch [43/50] | train_loss=7.9195 | train_acc=0.1483 | val_loss=12.1665 | val_acc=0.1713 | time=55.2s
Epoch [44/50] | train_loss=20.3330 | train_acc=0.1569 | val_loss=4.9124 | val_acc=0.1715 | time=55.3s
Epoch [45/50] | train_loss=11.5129 | train_acc=0.1451 | val_loss=7.2944 | val_acc=0.1665 | time=56.8s
Epoch [46/50] | train_loss=29.5914 | train_acc=0.1551 | val_loss=17.8949 | val_acc=0.1827 | time=57.0s
Epoch [47/50] | train_loss=16.4649 | train_acc=0.1489 | val_loss=5.6597 | val_acc=0.1633 | time=53.8s
Epoch [48/50] | train_loss=13.3137 | train_acc=0.1499 | val_loss=4.4011 | val_acc=0.1393 | time=53.6s
Epoch [49/50] | train_loss=20.5624 | train_acc=0.1371 | val_loss=2.9953 | val_acc=0.1492 | time=53.6s
Epoch [50/50] | train_loss=18.3196 | train_acc=0.1420 | val_loss=3.5820 | val_acc=0.0998 | time=53.6s
